alpha,noise_gap,sigma_bad,regime,metric,mean_impr,ci_lo,ci_hi,p_value,sig,C_vs_E,rep_sep,n_seeds
1.3,0.5,1.1,uncorrelated,Brier,0.005909591794686887,-0.0029614773338732616,0.015005762341284036,0.25050927373224313,n.s.,-0.2941924254607517,1.0404478185723776,10
1.3,0.5,1.1,uncorrelated,LogLoss,0.010308991290195307,0.0019601116014854774,0.01935529168706539,0.05531842733823443,n.s.,-0.31020080890574003,1.0404478185723776,10
1.3,0.5,1.1,anti_correlated,Brier,0.006799581174419203,-0.0001694268132198287,0.013700597162230745,0.1033700853946988,n.s.,-0.4356042840510085,1.0404478185723776,10
1.3,0.5,1.1,anti_correlated,LogLoss,0.010372402455042559,0.005513373301345712,0.01563017779292785,0.0043774262011246285,**,-0.32869192117498647,1.0404478185723776,10
1.3,1.0,1.6,uncorrelated,Brier,0.1000104447299724,0.07348139237300737,0.13110407259299467,0.0001286484662172089,***,-0.8753354126192345,1.0949924601672114,10
1.3,1.0,1.6,uncorrelated,LogLoss,0.10877359711978865,0.08217567380389627,0.13975722346542904,6.76163198306358e-05,***,-0.6709594279851603,1.0949924601672114,10
1.3,1.0,1.6,anti_correlated,Brier,0.10968076375633688,0.09407392826418948,0.12558277256722178,4.126768003571916e-07,***,-0.9405493201018423,1.0949924601672114,10
1.3,1.0,1.6,anti_correlated,LogLoss,0.11552507750023051,0.09872193608235659,0.13375522818994648,6.775103507028192e-07,***,-0.5842819768478976,1.0949924601672114,10
1.3,1.5,2.1,uncorrelated,Brier,0.3724846170661352,0.3101627634420388,0.44939830210499665,4.414048956769278e-06,***,-1.6363441893032793,1.151782490854784,10
1.3,1.5,2.1,uncorrelated,LogLoss,0.34625993222681756,0.2867410299398294,0.41742906583142,4.631671413975124e-06,***,-1.0346502298355749,1.151782490854784,10
1.3,1.5,2.1,anti_correlated,Brier,0.3982774626217112,0.35199920735715995,0.4461353718884358,7.831355355874104e-08,***,-1.5313340495025383,1.151782490854784,10
